Column1,Type,Phylum,Class,Order,Family,Genus,Species,Human,Zoonotic,Domestic,Wildlife,HostGroup,HostOrder,HostFamily,HostSpecies,HostName,Association,Method,Reference,PMID,Additional,Synonym,Disease,Taylor,Emerging,Emerging.Source,VectorBorne,GramStain,Motility,Spore,Oxygen,Cell,Infection,Abbreviation,Strain,Genome,Gsize,ProteinCount,PercentGC,HostSpeciesPHB,HostSpecies.new,N.genomes,Genome.size,Genome.GC,Genome.genes
4167,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Capra hircus,Domestic goat,Pathogenic,Isolation,,4919387,,Bacillus marcescens,,Yes,Yes,Taylor; Jones,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Caprahircus,Capra hircus,445,5.22706182,59.70038045,5024.768879
4168,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Yes,Yes,Yes,No,Ungulates,Perissodactyla,Equidae,Equus caballus,Horse,Pathogenic,Isolation,,1577651,,Bacillus marcescens,,Yes,Yes,Taylor; Jones,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Equuscaballus,Equus caballus,445,5.22706182,59.70038045,5024.768879
4169,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera ,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,7963469,,,,Yes,Yes,Jones,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
4170,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia plymuthica,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,7714177,,Bacterium plymuthicum,,Yes,No,,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,12,5.391983333,56.09166667,5088.583333
4171,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia proteamaculans,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,8432835,,Xantomonas proteamaculans; Pseudomonas proteamaculans; Erwinia proteamaculans,,Yes,No,,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,5,5.45613,54.88,5215.8
4172,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia rubidaea,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,8748310,,Serratia marinorubra,,Yes,No,,No,Gram-negative,Motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,5,5.012964,58.78,4766
4177,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,Captive,No,Primates,Primates,Aotidae,Aotus trivirgatus,Three-striped night monkey,Pathogenic,Isolation,,828225,,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Aotustrivirgatus,Aotus trivirgatus,155,4.595839097,47.03868323,4325.141935
4178,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,Captive,No,Primates,Primates,Cebidae,Saimiri sciureus,Common squirrel monkey,Pathogenic,Isolation,,20207365,,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Saimirisciureus,Saimiri sciureus,155,4.595839097,47.03868323,4325.141935
4180,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,Captive,No,Primates,Primates,Cercopithecidae,Chlorocebus aethiops,Grivet monkey,Pathogenic,Isolation,,NA,http://agris.fao.org/agris-search/search.do?recordID=IR2010008065,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Chlorocebusaethiops,Chlorocebus aethiops,155,4.595839097,47.03868323,4325.141935
4181,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,Captive,No,Primates,Primates,Hylobatidae,Hylobates agilis,Agile gibbon,Pathogenic,Isolation,,20207365,,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Hylobatesagilis,Hylobates agilis,155,4.595839097,47.03868323,4325.141935
4182,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,Captive,No,Primates,Primates,Lemuridae,Varecia variegata,Black-and-white ruffed lemur,Pathogenic,Isolation,,6511581,,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Vareciavariegata,Varecia variegata,155,4.595839097,47.03868323,4325.141935
4183,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,2659991,,Bacterium enterocoliticum,,Yes,Yes,Taylor; Jones,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,155,4.595839097,47.03868323,4325.141935
4253,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia frederiksenii,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,8104973,,,,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,29,4.90747069,47.34482759,4538.275862
4272,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia frederiksenii,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Ovis aries,Domestic sheep,Pathogenic,Isolation,,2043083,,,,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisaries,Ovis aries,29,4.90747069,47.34482759,4538.275862
4273,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia intermedia,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,3711276,,,,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,21,4.900947619,47.54285714,4553.904762
4300,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia intermedia,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Ovis aries,Domestic sheep,Pathogenic,Isolation,,2043083,,,,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisaries,Ovis aries,21,4.900947619,47.54285714,4553.904762
4302,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia kristensenii,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,NA,doi:10.1007/BF02605860,,,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,21,4.587963333,47.52425238,4272.714286
4322,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,11586360,,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,90,4.636980889,47.56185,4380.797753
4323,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Carnivora,Carnivora,Canidae,Canis latrans,Coyote,Pathogenic,Antibodies,,16989561,GMPD,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Canislatrans,Canis latrans,90,4.636980889,47.56185,4380.797753
4327,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Carnivora,Carnivora,Felidae,Lynx canadensis,Canada lynx,Pathogenic,Isolation,,17092896,,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Lynxcanadensis,Lynx canadensis,90,4.636980889,47.56185,4380.797753
4336,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Carnivora,Carnivora,Mustelidae,Mustela nigripes,Black-footed ferret,Pathogenic,Isolation,,7760495,,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Mustelanigripes,Mustela nigripes,90,4.636980889,47.56185,4380.797753
4339,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Carnivora,Carnivora,Procyonidae,Procyon lotor,Raccoon,Pathogenic,Antibodies,,16989561,,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Procyonlotor,Procyon lotor,90,4.636980889,47.56185,4380.797753
4358,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Rodentia,Rodentia,Sciuridae,Cynomys ludovicianus,Black-tailed prairie dog,Pathogenic,Isolation,,NA,DOI: 10.1890/1540-9295(2004)002[0235:POEIPD]2.0.CO;2,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Cynomysludovicianus,Cynomys ludovicianus,90,4.636980889,47.56185,4380.797753
4367,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Cervidae,Odocoileus hemionus,Mule deer,Pathogenic,Isolation,,18957655,GMPD,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Odocoileushemionus,Odocoileus hemionus,90,4.636980889,47.56185,4380.797753
4368,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yes,Yes,Yes,No,Carnivora,Carnivora,Felidae,Felis catus,Domestic cat,Pathogenic,Antibodies,,5115674,,"Yersinia pseudotuberculosis subsp. pestis; Pestisella pestis; Pasteurella pestis, etc.",,Yes,Yes,Taylor; Jones,Yes,Gram-negative,Non-motile,No,Facultatively anaerobic,Facultative intracellular,NA,NA,NA,NA,NA,NA,NA,Feliscatus,Felis catus,90,4.636980889,47.56185,4380.797753
4370,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Carnivora,Carnivora,Herpestidae,Suricata suricatta,Meerkat,Pathogenic,Isolation,,26179097,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Suricatasuricatta,Suricata suricatta,63,4.724958571,47.45211429,4396.761905
4371,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Chiroptera,Chiroptera,Pteropodidae,Rousettus aegyptiacus,Egyptian rousette,Pathogenic,Isolation,,19368235,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Rousettusaegyptiacus,Rousettus aegyptiacus,63,4.724958571,47.45211429,4396.761905
4372,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Primates,Primates,Callitrichidae,Callimico goeldii,Goeldi's marmoset,Pathogenic,Isolation,,10749440,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Callimicogoeldii,Callimico goeldii,63,4.724958571,47.45211429,4396.761905
4373,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Primates,Primates,Callitrichidae,Leontopithecus rosalia,Golden lion tamarin,Pathogenic,Isolation,,10749440,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Leontopithecusrosalia,Leontopithecus rosalia,63,4.724958571,47.45211429,4396.761905
4374,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Primates,Primates,Callitrichidae,Mico argentatus,Silvery marmoset,Pathogenic,Isolation,,10749440,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Callithrixargentata,Callithrix argentata,63,4.724958571,47.45211429,4396.761905
4375,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Primates,Primates,Cebidae,Saimiri sciureus,Common squirrel monkey,Pathogenic,Isolation,,7240387,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Saimirisciureus,Saimiri sciureus,63,4.724958571,47.45211429,4396.761905
4376,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Primates,Primates,Cercopithecidae,Macaca mulatta,Rhesus macaque,Pathogenic,Isolation,,27535288,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Macacamulatta,Macaca mulatta,63,4.724958571,47.45211429,4396.761905
4377,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Captive,No,Rodentia,Rodentia,Caviidae,Hydrochoerus hydrochaeris,Capybara,Pathogenic,Isolation,,NA,http://www2.vf.uni-lj.si/ZB/SlovVetRes_45_(4).pdf#page=21,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Hydrochoerushydrochaeris,Hydrochoerus hydrochaeris,63,4.724958571,47.45211429,4396.761905
4378,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,3531232,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,63,4.724958571,47.45211429,4396.761905
4386,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Aves,Galliformes,Numididae,Numida meleagris,Helmeted guineafowl,Pathogenic,Isolation,,NA,http://dx.doi.org/10.4081/ijas.2009.793,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Numidameleagris,Numida meleagris,63,4.724958571,47.45211429,4396.761905
4409,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Carnivora,Carnivora,Felidae,Puma concolor,Cougar,Pathogenic,Isolation,,24442485,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Pumaconcolor,Puma concolor,63,4.724958571,47.45211429,4396.761905
4414,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus,Western european hedgehog,Pathogenic,Isolation,,2035215,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Erinaceuseuropaeus,Erinaceus europaeus,63,4.724958571,47.45211429,4396.761905
4417,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Mammalia,Lagomorpha,Leporidae,Lepus europaeus,European hare,Pathogenic,Isolation,,24442485,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Lepuseuropaeus,Lepus europaeus,63,4.724958571,47.45211429,4396.761905
4418,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Rodentia,Rodentia,Castoridae,Castor canadensis,American beaver,Pathogenic,Isolation,,19901394,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Castorcanadensis,Castor canadensis,63,4.724958571,47.45211429,4396.761905
4424,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Rodentia,Rodentia,Muridae,Rattus norvegicus,Brown rat,Pathogenic,Isolation,,367272,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Rattusnorvegicus,Rattus norvegicus,63,4.724958571,47.45211429,4396.761905
4426,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Rodentia,Rodentia,Myocastoridae,Myocastor coypus,Coypu,Pathogenic,Isolation,,NA,http://link.springer.com/article/10.1007/s10344-007-0146-7,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Myocastorcoypus,Myocastor coypus,63,4.724958571,47.45211429,4396.761905
4427,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Bovidae,Antilope cervicapra,Blackbuck,Pathogenic,Isolation,,18460627,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Antilopecervicapra,Antilope cervicapra,63,4.724958571,47.45211429,4396.761905
4429,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Cervidae,Axis axis,Axis deer,Pathogenic,Isolation,,18460627,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Axisaxis,Axis axis,63,4.724958571,47.45211429,4396.761905
4431,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Cervidae,Odocoileus virginianus,White-tailed deer,Pathogenic,Isolation,,18460627,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Odocoileusvirginianus,Odocoileus virginianus,63,4.724958571,47.45211429,4396.761905
4432,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Aves,Galliformes,Phasianidae,Meleagris gallopavo,Domestic turkey,Pathogenic,Isolation,,6347170,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Meleagrisgallopavo,Meleagris gallopavo,63,4.724958571,47.45211429,4396.761905
4433,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Carnivora,Carnivora,Felidae,Felis catus,Domestic cat,Pathogenic,Isolation,,24442485,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Feliscatus,Felis catus,63,4.724958571,47.45211429,4396.761905
4434,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Primates,Primates,Cercopithecidae,Cercocebus atys,Sooty mangabey,Pathogenic,Isolation,,4628884,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Cercocebusatys,Cercocebus atys,63,4.724958571,47.45211429,4396.761905
4435,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Primates,Primates,Cercopithecidae,Macaca fascicularis,Crab-eating macaque,Pathogenic,Isolation,,4628884,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Macacafascicularis,Macaca fascicularis,63,4.724958571,47.45211429,4396.761905
4436,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Primates,Primates,Cercopithecidae,Macaca nemestrina,Southern pig-tailed macaque,Pathogenic,Isolation,,4628884,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Macacanemestrina,Macaca nemestrina,63,4.724958571,47.45211429,4396.761905
4437,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Primates,Primates,Cercopithecidae,Macaca radiata,Bonnet macaque,Pathogenic,Isolation,,4628884,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Macacaradiata,Macaca radiata,63,4.724958571,47.45211429,4396.761905
4438,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yes,Yes,Yes,No,Rodentia,Rodentia,Caviidae,Cavia porcellus,Domestic guinea pig,Pathogenic,Isolation,,24442485,,"Shigella pseudotuberculosis; Pasteurella pseudotuberculosis; Pasteurella lymphangitidis, etc.",,Yes,No,,No,Gram-negative,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Caviaporcellus,Cavia porcellus,63,4.724958571,47.45211429,4396.761905
